0.8169 0.745 0.6871 0.6411 0.6052 0.578 0.5576 0.5427 0.532 0.5243 0.5186 0.5144 0.511 0.5083 0.5062 0.5045 0.5033 0.5026 0.5024 0.5027 0.5033 0.5043 0.5056 0.507 0.5085 0.5101 0.5117 0.5132 0.5147 0.516 0.5173 0.5186
4.0482 3.6147 3.2468 2.9354 2.6728 2.4524 2.2688 2.1171 1.9933 1.8937 1.8154 1.7553 1.7111 1.6801 1.6601 1.6486 1.6436 1.6426 1.644 1.6458 1.647 1.6468 1.6447 1.6409 1.6357 1.6294 1.6225 1.6155 1.6087 1.6024 1.597 1.5924
5.3271 4.8032 4.3645 4.0001 3.7009 3.4592 3.2683 3.1222 3.0151 2.9409 2.8931 2.8643 2.8469 2.8335 2.8186 2.7992 2.775 2.7471 2.7177 2.6889 2.6625 2.6398 2.6216 2.6085 2.6007 2.598 2.6001 2.6065 2.6165 2.6294 2.6442 2.6599
9.8918 9.0416 8.301 7.6532 7.0848 6.5853 6.1459 5.7595 5.4204 5.1237 4.8657 4.6432 4.454 4.2962 4.1688 4.0709 4.0019 3.9614 3.9485 3.9615 3.9974 4.0516 4.1168 4.1838 4.2426 4.2849 4.3065 4.3081 4.2936 4.2678 4.2352 4.1994
10.1595 9.3221 8.597 7.9678 7.422 6.9498 6.5441 6.1998 5.9139 5.6852 5.5144 5.4036 5.3555 5.3708 5.4454 5.5654 5.7022 5.8145 5.8674 5.8556 5.7971 5.7128 5.6173 5.5195 5.425 5.3374 5.2589 5.1913 5.136 5.0944 5.0675 5.0565
14.6226 13.8641 13.1435 12.4702 11.8471 11.2725 10.743 10.2549 9.8045 9.3885 9.0042 8.6491 8.3213 8.0191 7.7416 7.4878 7.2576 7.0513 6.8699 6.7158 6.5923 6.5051 6.4619 6.4725 6.5475 6.6957 6.921 7.221 7.5857 7.9935 8.3972 8.7134
14.7144 13.9625 13.2478 12.5798 11.9621 11.3936 10.8714 10.3921 9.9528 9.5511 9.1856 8.8562 8.5642 8.3142 8.1155 7.986 7.9569 8.0717 8.3663 8.8429 9.4622 10.0989 10.4509 10.4783 10.3917 10.273 10.1457 10.0177 9.8924 9.7714 9.6555 9.545
18.8883 17.9596 17.2657 16.7065 16.2248 15.7888 15.3814 14.994 14.6228 14.2665 13.9251 13.5986 13.2874 12.9913 12.7102 12.4435 12.1909 11.9517 11.7255 11.5116 11.3097 11.1194 10.9405 10.7732 10.6179 10.4757 10.3488 10.2419 10.1645 10.1376 10.2088 10.4636
18.9596 18.015 17.3109 16.7456 16.2605 15.8229 15.4149 15.0277 14.6571 14.3019 13.9619 13.6373 13.3286 13.0359 12.7594 12.4992 12.2559 12.0311 11.8283 11.6574 11.5492 11.6206 12.174 13.2565 14.6588 16.1246 16.5031 16.489 16.4434 16.3924 16.3412 16.2912
32.3144 28.9509 26.4887 24.6332 23.2044 22.086 21.1991 20.4878 19.9109 19.4377 19.045 18.715 18.4342 18.1925 17.9821 17.7971 17.6327 17.4855 17.3527 17.232 17.1217 17.0204 16.9269 16.8403 16.7598 16.6848 16.6148 16.5493 16.4882 16.4312 16.3782 16.3295
32.3799 29.0078 26.5383 24.6765 23.2421 22.1188 21.2278 20.5129 19.933 19.4575 19.0628 18.7312 18.4494 18.2069 17.996 17.8107 17.6465 17.4997 17.3677 17.2485 17.1405 17.043 16.9563 16.8835 16.8415 17.03 18.6081 20.9114 23.6218 26.7655 30.4004 34.5989
